file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,corpus,-45.80786991307784,-45.87862584924185,3.89793929196005,8.170605020144901
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-43.805629340277775,-53.53233748215895,3.8811693907260945,11.443148868500742
F2BJRLP3,0.0,30.7068125,corpus,-46.00362768642136,-46.88873532647393,3.659455927908461,10.329792395517677
F2BJRLP2,0.0,28.6474375,corpus,-45.430249236474694,-45.727681977830066,3.603445035453904,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-43.26413059927361,-52.346614837646484,2.719652524230114,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.824399967783506,-50.89934571584066,2.563345956562469,12.358243745435463
